"Obj Id","Parent Objective","Verb","What you want to do","In order(to/for/so)","Has Dependency On","Comments","Labels","Objective","Related key_results","Related key_result_checkins","Related product_backlogs","Urgency","Importance","MoSCoW","Reach(Person/Month)","Impact","Confidence","Effort(Person/Month)","RICE","Action","Status","Assigned User",
67a3cf5e,"Incorporating LLC in US For the product parent","Applying","For Us B1 visa","To be ready for travel anytime","","","","Applying For Us B1 visa To be ready for travel anytime","36ce8846 , 4c74cb6f","36ce8846: 12/12/2023 , 36ce8846: 12/15/2023","","","","","","","","","","","","",
9af5dc8e,"T - Add more security for the product","T - Testing","the build regularly","to ensure security","","","","T - Testing the build regularly to ensure security","","","","","","","","","","","0.00","","","",
af6ebdca,"T - Add more security for the product","T - Creating","new test cases","to ensure security","","","","T - Creating new test cases to ensure security","","","","","","","","","","","0.00","","","",
8a730e7b,"","T - Add","more security","for the product","","","","T - Add more security for the product","ace662bc","ace662bc: 12/15/2023","","","","","","","","","0.00","","","",
367d17fe,"Improving OKR So as to make it to the ZERO process usable state!","Change","The OKR logo","To make it appealing","","","","Change The OKR logo To make it appealing","","","","1","3","S","","","","","0.00","","In Progress","",
daa6e476,"","Improving","OKR","So as to make it to the ZERO process usable state!","","","","Improving OKR So as to make it to the ZERO process usable state!","","","","","","","","","","","0.00","","","",
6c341136,"Building Leika To disrupt the data insights in pharmacy RWE R&D and Commercial domain","Featuring [Must]","Capability to export to put data","for presentation, action invoker etc...","","","","Featuring [Must] Capability to export to put data for presentation, action invoker etc...","","","","","","","","","","","","","","",
87b64c6c,"T - Testing the build regularly to ensure security","T - Setting up","Test environment","to test","","","","T - Setting up Test environment to test","","","","","","","","","","","0.00","","","",
e982fce5,"Incorporating LLC in US For the product parent","Monetize/maximize brand reach","Using data and other pillars [ Commercialization, Productization, Operations / all administrative works ]","To monetize","","","","Monetize/maximize brand reach Using data and other pillars [ Commercialization, Productization, Operations / all administrative works ] To monetize","","","","","","","","","","","","","","",
d001a307,"Featuring Bio update and badge To show the maturity and data update correctness","Receiving","Storylinedemo from Nakul","To build the feature","","","","Receiving Storylinedemo from Nakul To build the feature","6d1e6e0a","","","","","","","","","","","","","",
acbed3ed,"Building Leika To disrupt the data insights in pharmacy RWE R&D and Commercial domain","Featuring","Bio update and badge","To show the maturity and data update correctness","","","","Featuring Bio update and badge To show the maturity and data update correctness","","","","","","","","","","","","","","",
1ab45,"Incorporating LLC in US For the product parent","Building","Leika","To disrupt the data insights in pharmacy RWE R&D and Commercial domain","","","","Building Leika To disrupt the data insights in pharmacy RWE R&D and Commercial domain","","","","","","","","","","","","","","",
2ab45,"Incorporating LLC in US For the product parent","Building","The website","For the Incorporation and the product details","","","","Building The website For the Incorporation and the product details","","","","","","","","","","","","","","",
3ab45,"Incorporating LLC in US For the product parent","Reservation","Of the Domain","For website","","","","Reservation Of the Domain For website","","","","","","","","","","","","","","",
4ab45,"","Incorporating","LLC in US","For the product parent","","","","Incorporating LLC in US For the product parent","d9bdfde6","d9bdfde6: 12/12/2023 , d9bdfde6: 12/15/2023","","","","","","","","","","","","",
5ab45,"Building Leika To disrupt the data insights in pharmacy RWE R&D and Commercial domain","Featuring  [Could]","Data insights that can be a content or case study","for ivyleague health are MBA or any relevant courses","","","","Featuring  [Could] Data insights that can be a content or case study for ivyleague health are MBA or any relevant courses","","","","","","","","","","","","","","",
b470ae09,"T - Setting up Test environment to test","T - Testing","automatically","in order to save time","","","","T - Testing automatically in order to save time","b470ae09","b470ae09: 12/15/2023","","","","","","","","","0.00","","","",